Time	Channel A
(ms)	(V)

-4.89113600	0.09278476
-4.89062400	0.11720180
-4.89011200	0.09278476
-4.88960000	0.10255160
-4.88908800	0.10255160
-4.88857600	0.10743500
-4.88806400	0.08790135
-4.88755200	0.09766817
-4.88704000	0.09766817
-4.88652800	0.12208520
-4.88601600	0.08790135
-4.88550400	0.10255160
-4.88499200	0.11720180
-4.88448000	0.10255160
-4.88396800	0.12696860
-4.88345600	0.12208520
-4.88294400	0.10743500
-4.88243200	0.12208520
-4.88192000	0.09278476
-4.88140800	0.11720180
-4.88089600	0.11231840
-4.88038400	0.13185200
-4.87987200	0.12208520
-4.87936000	0.10255160
-4.87884800	0.11720180
-4.87833600	0.12208520
-4.87782400	0.11231840
-4.87731200	0.13185200
-4.87680000	0.12208520
-4.87628800	0.13673540
-4.87577600	0.13185200
-4.87526400	0.12208520
-4.87475200	0.13673540
-4.87424000	0.13673540
-4.87372800	0.14161880
-4.87321600	0.14161880
-4.87270400	0.13673540
-4.87219200	0.13185200
-4.87168000	0.13673540
-4.87116800	0.12696860
-4.87065600	0.13673540
-4.87014400	0.12696860
-4.86963200	0.13673540
-4.86912000	0.15138570
-4.86860800	0.13673540
-4.86809600	0.11720180
-4.86758400	0.11231840
-4.86707200	0.13185200
-4.86656000	0.11720180
-4.86604800	0.13185200
-4.86553600	0.11720180
-4.86502400	0.13185200
-4.86451200	0.13673540
-4.86400000	0.12208520
-4.86348800	0.12696860
-4.86297600	0.12696860
-4.86246400	0.11720180
-4.86195200	0.11720180
-4.86144000	0.11231840
-4.86092800	0.12208520
-4.86041600	0.12208520
-4.85990400	0.10743500
-4.85939200	0.12696860
-4.85888000	0.11720180
-4.85836800	0.11231840
-4.85785600	0.10743500
-4.85734400	0.11720180
-4.85683200	0.11720180
-4.85632000	0.10743500
-4.85580800	0.12696860
-4.85529600	0.11720180
-4.85478400	0.11720180
-4.85427200	0.12696860
-4.85376000	0.11720180
-4.85324800	0.12696860
-4.85273600	0.13673540
-4.85222400	0.13185200
-4.85171200	0.11231840
-4.85120000	0.12696860
-4.85068800	0.11720180
-4.85017600	0.11231840
-4.84966400	0.11720180
-4.84915200	0.10743500
-4.84864000	0.12208520
-4.84812800	0.10743500
-4.84761600	0.11720180
-4.84710400	0.13185200
-4.84659200	0.12208520
-4.84608000	0.11231840
-4.84556800	0.10743500
-4.84505600	0.10743500
-4.84454400	0.09766817
-4.84403200	0.10255160
-4.84352000	0.09278476
-4.84300800	0.08790135
-4.84249600	0.09278476
-4.84198400	0.10255160
-4.84147200	0.11231840
-4.84096000	0.12208520
-4.84044800	0.10255160
-4.83993600	0.10255160
-4.83942400	0.10255160
-4.83891200	0.10743500
-4.83840000	0.10743500
-4.83788800	0.10743500
-4.83737600	0.10743500
-4.83686400	0.11231840
-4.83635200	0.11720180
-4.83584000	0.09766817
-4.83532800	0.12208520
-4.83481600	0.11231840
-4.83430400	0.12696860
-4.83379200	0.13185200
-4.83328000	0.10743500
-4.83276800	0.12208520
-4.83225600	0.14161880
-4.83174400	0.10743500
-4.83123200	0.13673540
-4.83072000	0.11720180
-4.83020800	0.13185200
-4.82969600	0.12696860
-4.82918400	0.14161880
-4.82867200	0.10743500
-4.82816000	0.11720180
-4.82764800	0.12208520
-4.82713600	0.10743500
-4.82662400	0.12208520
-4.82611200	0.12696860
-4.82560000	0.12208520
-4.82508800	0.12208520
-4.82457600	0.11720180
-4.82406400	0.11720180
-4.82355200	0.11231840
-4.82304000	0.12208520
-4.82252800	0.12208520
-4.82201600	0.11720180
-4.82150400	0.10255160
-4.82099200	0.09766817
-4.82048000	0.12696860
-4.81996800	0.10743500
-4.81945600	0.11720180
-4.81894400	0.11231840
-4.81843200	0.11231840
-4.81792000	0.10743500
-4.81740800	0.10743500
-4.81689600	0.11231840
-4.81638400	0.13185200
-4.81587200	0.12696860
-4.81536000	0.12696860
-4.81484800	0.11720180
-4.81433600	0.13185200
-4.81382400	0.12208520
