Time	Channel A
(ms)	(V)

-50.00890000	0.12696860
-50.00388000	0.14161880
-49.99885000	0.13673540
-49.99383000	0.13185200
-49.98881000	0.11720180
-49.98378000	0.14161880
-49.97876000	0.13673540
-49.97373000	0.13673540
-49.96871000	0.14161880
-49.96368000	0.13185200
-49.95866000	0.14161880
-49.95364000	0.12208520
-49.94861000	0.11231840
-49.94359000	0.12208520
-49.93856000	0.12696860
-49.93354000	0.12696860
-49.92852000	0.13673540
-49.92349000	0.13673540
-49.91847000	0.11720180
-49.91344000	0.12208520
-49.90842000	0.12696860
-49.90340000	0.14161880
-49.89837000	0.17580270
-49.89335000	0.14161880
-49.88832000	0.14650230
-49.88330000	0.14650230
-49.87828000	0.14161880
-49.87325000	0.13673540
-49.86823000	0.12208520
-49.86320000	0.13673540
-49.85818000	0.12208520
-49.85316000	0.12208520
-49.84813000	0.12208520
-49.84311000	0.11720180
-49.83809000	0.12208520
-49.83306000	0.14650230
-49.82804000	0.12208520
-49.82301000	0.11231840
-49.81799000	0.14161880
-49.81297000	0.12696860
-49.80794000	0.10255160
-49.80292000	0.11231840
-49.79789000	0.11231840
-49.79287000	0.13185200
-49.78785000	0.11231840
-49.78282000	0.12696860
-49.77779000	0.12208520
-49.77277000	0.11231840
-49.76775000	0.13673540
-49.76273000	0.13185200
-49.75770000	0.11720180
-49.75267000	0.13673540
-49.74765000	0.15138570
-49.74263000	0.13185200
-49.73761000	0.14161880
-49.73258000	0.15626910
-49.72755000	0.11720180
-49.72253000	0.13185200
-49.71751000	0.11231840
-49.71248000	0.12208520
-49.70746000	0.12208520
-49.70243000	0.11231840
-49.69741000	0.12208520
-49.69239000	0.10255160
-49.68736000	0.13185200
-49.68234000	0.13673540
-49.67731000	0.10743500
-49.67229000	0.11720180
-49.66727000	0.12696860
-49.66224000	0.11231840
-49.65722000	0.12696860
-49.65219000	0.10743500
-49.64717000	0.10743500
-49.64215000	0.10255160
-49.63712000	0.11720180
-49.63210000	0.09278476
-49.62708000	0.10743500
-49.62205000	0.12696860
-49.61703000	0.12696860
-49.61200000	0.13185200
-49.60698000	0.14161880
-49.60196000	0.14650230
-49.59693000	0.12696860
-49.59191000	0.16115250
-49.58688000	0.13673540
-49.58186000	0.11720180
-49.57684000	0.13673540
-49.57181000	0.14161880
-49.56679000	0.14650230
-49.56176000	0.14161880
-49.55674000	0.13185200
-49.55172000	0.12696860
-49.54669000	0.10255160
-49.54167000	0.09766817
-49.53664000	0.11720180
-49.53162000	0.09766817
-49.52660000	0.08790135
-49.52157000	0.12696860
-49.51655000	0.15138570
-49.51152000	0.16603590
-49.50650000	0.13673540
-49.50148000	0.14161880
-49.49645000	0.13185200
-49.49143000	0.12208520
-49.48640000	0.13185200
-49.48138000	0.14650230
-49.47636000	0.14650230
-49.47133000	0.11231840
-49.46631000	0.12696860
-49.46128000	0.14650230
-49.45626000	0.12208520
-49.45124000	0.12696860
-49.44621000	0.14161880
-49.44119000	0.12208520
-49.43616000	0.14161880
-49.43114000	0.10743500
-49.42612000	0.10255160
-49.42109000	0.09766817
