Transmission:328		
747	24,39	
748	22,89	
749	21,31	
750	19,21	
751	18,16	
752	14,69	
753	13,44	
754	11,5	
755	10,75	
756	10,18	
757	7,57	
758	6,51	
759	8,96	
760	6,74	
761	5,46	
762	5,4	
763	4,35	
764	4,78	
765	4,4	
766	5,05	
767	3,74	
768	3,71	
769	3,38	
770	2,75	
771	4,2	
772	2,57	
773	2,41	
774	3,33	
775	1,68	
776	2,69	
777	2,81	
778	1,45	
779	2,08	
780	1,32	
781	1,51	
782	2,77	
783	1,43	
784	1,25	
785	2,33	
786	2,02	
787	0,57	
788	2,51	
789	0,89	
790	2,47	
791	-0,92	
792	0,97	
793	1,31	
794	1,8	
795	1,84	
796	1,27	
797	0,88	
798	0,98	
799	0,93	
800	0,71	
801	1,9	
802	-0,17	
803	-0,36	
804	0,2	
805	0,73	
806	1,47	
807	0,84	
808	0,26	
809	0,84	
810	0,5	
811	0,52	
812	0,2	
813	2,04	
814	1,99	
815	0,49	
816	0,81	
817	0,48	
818	0,53	
819	0,61	
820	0,88	
821	-0,14	
822	0,48	
823	1,74	
824	0,22	
825	-0,18	
826	0,51	
827	0,04	
828	0,1	
829	1,75	
830	2,14	
831	1,54	
832	1,57	
833	1,6	
834	-0,59	
835	0,18	
836	1,36	
837	0,75	
838	-0,64	
839	1,08	
840	1,27	
841	0,85	
842	1,88	
843	0,46	
844	0,85	
845	1,83	
846	-0,49	
847	0,62	
848	-0,93	
849	-0,13	
850	1,21	
851	0,6	
852	0,38	
853	1,41	
854	0,85	
855	0,16	
856	0	
857	0,18	
858	1,35	
859	2,04	
860	-0,84	
861	0,08	
862	1,95	
863	1,63	
864	0,27	
865	1,53	
866	2,14	
867	2,62	
868	1,19	
869	3,14	
870	1,46	
871	2,17	
872	-0,59	
873	-0,62	
874	0,46	
875	3,25	
876	1,39	
877	2,05	
878	0,89	
879	0,62	
880	0,07	
881	3,46	
882	0,27	
883	0,91	
884	2,81	
885	2,88	
886	1,62	
887	2,32	
888	-0,02	
889	0,96	
890	3,3	
891	1,88	
892	1,56	
893	2,13	
894	0,51	
895	2,11	
896	-2,81	
897	1,45	
898	-0,18	
899	1,35	
900	2,31	
901	4,23	
902	-1,14	
903	0,93	
904	1,98	
905	0,79	
906	4,14	
907	1,69	
908	2,41	
909	1,89	
910	-0,67	
911	3,35	
912	-0,27	
913	1,42	
914	-2,76	
915	0,9	
916	3,2	
917	-0,82	
918	-0,36	
919	2,47	
920	-0,96	
921	3,15	
922	-1,78	
923	3,29	
924	-2,76	
925	-2,15	
926	4,21	
927	3,21	
928	0,5	
929	-4,94	
930	2,38	
931	2,3	
932	-5,18	
933	3,53	
934	-2,71	
935	4,43	
936	-1,75	
937	-6,41	
938	-1,41	
939	-0,85	
940	1,84	
941	6,19	
942	1,18	
943	10,22	
944	-1,85	
945	4,07	
946	0,61	
947	0,28	
948	-9,51	
949	7,8	
950	18,57	
951	2,69	
952	-6,57	
953	-3,71	
954	-1,3	
955	-4,22	
